ID,ChapterID,PreQuestID,Difficulty,EvaluationIDs,RequireItems,RequireItemCounts,RequireAttributes,RequireAttributeCounts,RewardGrpID,ChallengeLimitCount,NameID,DescriptionID
1,1,-1,1,0,1,5,,,1,0,Quest_Name_1,Quest_Desc_1
2,1,1,1,0,1,5,,,1,0,Quest_Name_2,Quest_Desc_2
3,1,2,1,0,1,5,,,1,0,Quest_Name_3,Quest_Desc_3
4,1,3,1,0,1,5,,,1,0,Quest_Name_4,Quest_Desc_4
5,1,4,1,0,1,5,,,1,0,Quest_Name_5,Quest_Desc_5
6,1,5,1,0,1,5,,,1,0,Quest_Name_6,Quest_Desc_6
7,1,6,1,0,1,5,,,1,0,Quest_Name_7,Quest_Desc_7
8,1,7,1,0,1,5,,,1,0,Quest_Name_8,Quest_Desc_8
9,1,8,2,0,1,5,,,1,0,Quest_Name_9,Quest_Desc_9
10,1,9,2,0,1,5,,,1,0,Quest_Name_10,Quest_Desc_10
11,1,7,2,0,1,10,,,11,1,Quest_Name_11,Quest_Desc_11
12,1,11,2,0,1,10,,,12,1,Quest_Name_12,Quest_Desc_12
13,1,12,2,0,1,10,,,13,1,Quest_Name_13,Quest_Desc_13
