id,maxStack,entityID,nameID,descriptionID,iconID,backgroundID,frameID
11001,1,4001,item_n_1000,item_d_1000,item_i_1000,,
11002,1,4001,item_n_1000,item_d_1000,item_i_1000,,
21001,1,4001,item_n_1000,item_d_1000,item_i_1000,,
12001,1,4001,item_n_1000,item_d_1000,item_i_1000,,
13001,1,4002,item_n_1000,item_d_1000,item_i_1000,,
13002,1,4003,item_n_1000,item_d_1000,item_i_1000,,
23001,1,4002,item_n_1000,item_d_1000,item_i_1000,,
23002,1,4003,item_n_1000,item_d_1000,item_i_1000,,
23003,1,4004,item_n_1000,item_d_1000,item_i_1000,,
23004,1,4005,item_n_1000,item_d_1000,item_i_1000,,
11011,1,4001,item_n_1000,item_d_1000,item_i_1000,,
11012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
12011,1,4001,item_n_1000,item_d_1000,item_i_1000,,
12012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
13011,1,4002,item_n_1000,item_d_1000,item_i_1000,,
13012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
13013,1,4002,item_n_1000,item_d_1000,item_i_1000,,
13014,1,4001,item_n_1000,item_d_1000,item_i_1000,,
13015,1,4002,item_n_1000,item_d_1000,item_i_1000,,
13016,1,4001,item_n_1000,item_d_1000,item_i_1000,,
13017,1,4002,item_n_1000,item_d_1000,item_i_1000,,
13018,1,4001,item_n_1000,item_d_1000,item_i_1000,,
21011,1,4001,item_n_1000,item_d_1000,item_i_1000,,
21012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
22011,1,4001,item_n_1000,item_d_1000,item_i_1000,,
22012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
23011,1,4002,item_n_1000,item_d_1000,item_i_1000,,
23012,1,4001,item_n_1000,item_d_1000,item_i_1000,,
23013,1,4002,item_n_1000,item_d_1000,item_i_1000,,
23014,1,4001,item_n_1000,item_d_1000,item_i_1000,,
23015,1,4002,item_n_1000,item_d_1000,item_i_1000,,
23016,1,4001,item_n_1000,item_d_1000,item_i_1000,,
23017,1,4002,item_n_1000,item_d_1000,item_i_1000,,
23018,1,4001,item_n_1000,item_d_1000,item_i_1000,,
100000,1,100000,item_n_1000,item_d_1000,item_i_1000,,
